id,account
A000014,neilabercrombie
A000022,repgaryackerman
A000055,robert_aderholt
A000069,senatorakaka
A000121,georgeallenva
A000148,repauchincloss
A000358,toddakin
A000360,senalexander
A000362,jasonaltmire
A000367,justinamash
A000368,kellyayotte
A000369,markamodeinv2
A000370,repadams
A000371,reppeteaguilar
A000372,reprickallen
A000373,repbradashford
A000374,repabraham
A000375,reparrington
A000376,repcolinallred
A000377,reparmstrongnd
A000378,repcindyaxne
B000013,bachusal06
B000072,rs__baker
B000208,roscoe_bartlett
B000213,repjoebarton
B000243,bigskymax
B000287,agbecerra
B000382,senbennett
B000444,joebiden
B000461,bilbrayca50
B000490,sanfordbishop
B000574,repblumenauer
B000575,royblunt
B000589,speakerboehner
B000652,leonardboswell
B000657,rickboucherdc
B000668,repbentz
B000711,barbaraboxer
B000740,repbice
B000755,repkevinbrady
B000825,repboebert
B000944,sensherrodbrown
B000953,irf_ambassador
B001135,senatorburr
B001223,jamaalbowmanny
B001224,repcori
B001227,bobbradyphl
B001229,brianbaird
B001230,senatorbaldwin
B001233,senevanbayh
B001234,joebacajr4us
B001236,johnboozman
B001239,greshambarrett
B001240,bobbeauprez
B001242,timbishopny
B001243,marshablackburn
B001248,michaelcburgess
B001250,reprobbishop
B001251,gkbutterfield
B001252,johnbarrowmc
B001253,crimsonbean09
B001254,danborenfub
B001256,michelebachmann
B001257,repgusbilirakis
B001258,boydanancy
B001259,brucebraley
B001260,vernbuchanan
B001261,senjohnbarrasso
B001262,paulbrounmd
B001263,repjohnboccieri
B001265,senatorbegich
B001266,rolandwburris
B001267,senatorbennet
B001268,senscottbrown
B001269,reploubarletta
B001270,repkarenbass
B001271,congressmandan
B001273,repdianeblack
B001274,repmobrooks
B001275,replarrybucshon
B001276,annmbuerkle
B001277,senblumenthal
B001278,repbonamici
B001279,repronbarber
B001280,repkerryb
B001281,repbeatty
B001282,repandybarr
B001283,jimbridenstine
B001284,@susanwbrooks
B001285,repbrownley
B001286,repcheri
B001287,repbera
B001288,senbooker
B001289,repbyrne
B001290,davebratva7th
B001291,repbrianbabin
B001292,repdonbeyer
B001293,mikebishopmi
B001294,reprodblum
B001295,repbost
B001296,congboyle
B001297,repkenbuck
B001298,repdonbacon
B001299,repjimbanks
B001300,repbarragan
B001301,repjackbergman
B001302,repandybiggsaz
B001303,replbr
B001304,repanthonybrown
B001305,reptedbudd
B001306,repbalderson
B001307,repjimbaird
B001309,reptimburchett
B001310,senatorbraun
B001311,repdanbishop
B001312,repbourdeaux
B001313,repshontelbrown
C000059,kencalvert
C000127,senatorcantwell
C000141,senatorcardin
C000174,senatorcarper
C000266,repstevechabot
C000286,saxbychambliss
C000380,delegatedonna
C000537,whipclyburn
C000542,sendancoats
C000556,howardcoble
C000567,senthadcochran
C000714,repjohnconyers
C000754,repjimcooper
C000880,mikecrapo
C000984,repcummings
C001035,senatorcollins
C001036,reploiscapps
C001038,joecrowleyny
C001039,repkatcammack
C001040,lincolnchafee
C001041,hillaryclinton
C001045,andercrenshaw
C001046,ericcantor
C001047,sencapito
C001049,lacyclaymo1
C001051,judgecarter
C001053,tomcoleok04
C001054,repjerrycarl
C001055,repedcase
C001056,johncornyn
C001059,repjimcosta
C001061,repcleaver
C001062,conawaytx11
